latitude,longitude,State,City,Population2012,12:00-1:00 AM,1:00-2:00_AM,2:00-3:00_AM,3:00-4:00_AM,4:00-5:00_AM,5:00-6:00_AM,6:00-7:00_AM,7:00-8:00_AM,8:00-9:00_AM,9:00-10:00_AM,10:00-11:00_AM,11:00-12:00_AM,12:00-1:00_PM,1:00-2:00_PM,2:00-3:00_PM,3:00-4:00_PM,4:00-5:00_PM,5:00-6:00_PM,6:00-7:00_PM,7:00-8:00_PM,8:00-9:00_PM,9:00-10:00_PM,10:00-11:00_PM,11:00-12:00_PM
36.84667,-76.28556,Virginia,Norfolk,243985,0,0,0,0,0,42,0,34,22,1,7,17,0,5,4,18,41,22,0,0,0,0,0,0
32.85444,-79.975,South Carolina,North Charleston,100250,0,0,0,0,0,0,19,2,3,8,0,27,0,16,0,0,0,0,0,3,0,0,0,0
28.53806,-81.37944,Florida,Orlando,244414,0,0,0,0,0,0,0,0,10,52,33,8,0,0,3,4,0,1,0,3,0,0,0,0
28.03417,-80.58889,Florida,Palm Bay,103937,0,0,0,0,0,0,0,11,17,0,6,0,0,0,0,0,0,16,50,14,6,0,0,0
39.95222,-75.16417,Pennsylvania,Philadelphia,1541189,2,0,0,0,0,66,277,637,353,60,201,46,0,226,58,132,53,0,120,12,0,0,0,0
40.44056,-79.99611,Pennsylvania,Pittsburgh,306504,0,0,0,0,0,0,0,0,22,248,28,45,39,1,18,25,40,0,88,6,1,1,0,0
27.29361,-80.35056,Florida,Port St. Lucie,166996,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0
41.82389,-71.41333,Rhode Island,Providence,175875,0,0,0,0,0,0,155,0,98,0,9,0,28,26,0,0,21,0,7,0,0,0,0,0
35.77194,-78.63889,North Carolina,Raleigh,420417,0,0,0,0,0,0,0,81,17,11,75,50,1,27,3,11,17,24,0,9,0,0,0,1
37.55361,-77.46056,Virginia,Richmond,207923,0,0,0,0,0,0,411,339,80,90,15,104,27,5,193,0,23,0,0,0,0,0,0,0
43.15472,-77.61583,New York,Rochester,210153,0,0,0,0,0,0,0,280,131,99,112,18,10,1,6,0,15,27,0,0,0,0,0,0
32.08333,-81.1,Georgia,Savannah,138451,0,0,0,0,0,0,0,0,3,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0
42.10139,-72.59028,Massachusetts,Springfield,152801,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
27.77056,-82.67944,Florida,St. Petersburg,243804,0,0,0,0,0,0,0,134,72,32,0,0,9,3,43,5,0,15,17,18,0,1,0,0
41.05333,-73.53917,Connecticut,Stamford,125320,0,0,0,0,0,0,15,141,0,0,17,0,0,0,15,0,0,0,0,0,0,0,0,0
43.04806,-76.14778,New York,Syracuse,145920,0,0,0,0,0,0,36,52,0,29,66,37,0,0,14,0,102,3,0,0,0,0,0,0
30.43806,-84.28083,Florida,Tallahassee,184160,21,0,0,0,0,0,7,75,82,101,10,1,12,39,0,54,64,17,27,10,6,0,0,0
27.94722,-82.45861,Florida,Tampa,343588,21,0,0,0,0,2,0,17,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0
36.85278,-75.97833,Virginia,Virginia Beach,440484,0,0,0,6,40,123,469,198,205,93,166,78,73,71,26,138,170,55,27,84,0,0,0,0
38.895,-77.03667,DC,Washington,617405,9,0,0,0,0,52,1158,824,523,522,256,201,179,91,106,185,73,66,79,22,7,0,0,0
41.55806,-73.05194,Connecticut,Waterbury,108567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
34.22556,-77.945,North Carolina,Wilmington,108735,0,0,0,0,0,1,0,0,0,11,22,0,0,0,0,0,9,18,0,0,0,0,0,0
36.09972,-80.24444,North Carolina,Winston-Salem,232896,0,0,0,0,0,0,699,1376,466,12,408,370,107,287,194,81,103,0,0,1,0,0,0,0
42.2625,-71.80278,Massachusetts,Worcester,183177,0,0,0,0,0,0,0,126,16,37,0,0,0,0,0,0,35,0,21,0,0,0,0,0
40.93111,-73.89917,New York,Yonkers,196271,0,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
